State,Department,Website,District,Block
Telangana,"Animal Husbadry & Veterinary Department(DVH), Nalgonda",RTI_telangana,Nalgonda,Nalgonda
Telangana,"Animal Husbadry & Veterinary Department(ISDP),Nalgonda",RTI_telangana,Nalgonda,Nalgonda
Telangana,"Animal Husbadry & Veterinary Department(PVC), Chendurthi",RTI_telangana,Chendurthi,Chendurthi
Telangana,"Animal Husbadry & Veterinary Department(PVC), Hanmajipet",RTI_telangana,Hanmajipet,Hanmajipet
Telangana,"Animal Husbadry & Veterinary Department(PVC), Mustabad",RTI_telangana,Mustabad,Mustabad
Telangana,"Animal Husbadry & Veterinary Department(PVC), Vemulawada (U",RTI_telangana,Vemulawada (U,Vemulawada (U
Telangana,Tahsildar Veenavanka,RTI_telangana,Karimnagar,Veenavanka
Telangana,"Animal Husbadry & Veterinary Department(ADDL), Nalgonda",RTI_telangana,Nalgonda,NA
Telangana,Animal Husbadry & Veterinary Department(AVH) Kollapoor,RTI_telangana,Kollapoor,NA
Telangana,"Animal Husbadry & Veterinary Department(DV&AHO), Nagarkurnool",RTI_telangana,Nagarkurnool,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC) , Thangallapalli",RTI_telangana,Thangallapalli,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Amrabad",RTI_telangana,Amrabad,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Boinpalli",RTI_telangana,Boinpalli,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Cheerlavancha",RTI_telangana,Cheerlavancha,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Ellanthakunta",RTI_telangana,Ellanthakunta,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Galipalli",RTI_telangana,Galipalli,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Gambhiraopet",RTI_telangana,Gambhiraopet,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Gollapalli",RTI_telangana,Gollapalli,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Konaraopet",RTI_telangana,Konaraopet,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Lingal",RTI_telangana,Lingal,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Manala",RTI_telangana,Manala,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Nizamabad",RTI_telangana,Nizamabad,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Rudhrangi",RTI_telangana,Rudhrangi,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Uppununthala",RTI_telangana,Uppununthala,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Vilasagar",RTI_telangana,Vilasagar,NA
Telangana,"Animal Husbadry & Veterinary Department(PVC), Yellareddypet",RTI_telangana,Yellareddypet,NA
Telangana,Animal Husbandry & Veterinary Department(DVAHO) Mahabubnagar,RTI_telangana,Mahabubnagar,NA
Telangana,Animal Husbandry & Veterinary Department(DVAHO)) Janagaon,RTI_telangana,) Janagaon,NA
Telangana,"Animal Husbandry&Veterinary Department,Alwal",RTI_telangana,Alwal,NA
Telangana,"Animal Husbandry&Veterinary Department,Balanagar",RTI_telangana,Balanagar,NA
Telangana,"Animal Husbandry&Veterinary Department,Dabilpur",RTI_telangana,Dabilpur,NA
Telangana,"Animal Husbandry&Veterinary Department,Devara Yamjal",RTI_telangana,Devara Yamjal,NA
Telangana,"Animal Husbandry&Veterinary Department,Dundigal",RTI_telangana,Dundigal,NA
Telangana,"Animal Husbandry&Veterinary Department,Ghatkesar",RTI_telangana,Ghatkesar,NA
Telangana,"Animal Husbandry&Veterinary Department,Keesara",RTI_telangana,Keesara,NA
Telangana,"Animal Husbandry&Veterinary Department,Kukatpally",RTI_telangana,Kukatpally,NA
Telangana,"Animal Husbandry&Veterinary Department,Malkajgiri",RTI_telangana,Malkajgiri,NA
Telangana,"Animal Husbandry&Veterinary Department,Medchal",RTI_telangana,Medchal,NA
Telangana,"Animal Husbandry&Veterinary Department,Nagaram",RTI_telangana,Nagaram,NA
Telangana,"Animal Husbandry&Veterinary Department,Pocharam",RTI_telangana,Pocharam,NA
Telangana,"Animal Husbandry&Veterinary Department,Pudur",RTI_telangana,Pudur,NA
Telangana,"Animal Husbandry&Veterinary Department,Quthbullapur",RTI_telangana,Quthbullapur,NA
Telangana,"Animal Husbandry&Veterinary Department,Shamirpet",RTI_telangana,Shamirpet,NA
Telangana,"Animal Husbandry&Veterinary Department,Uddemarry",RTI_telangana,Uddemarry,NA
Telangana,"Animal Husbandry&Veterinary Department,Uppal",RTI_telangana,Uppal,NA
Telangana,"Animal Husbandry&Veterinary Department,Uppal,M.C. Pally",RTI_telangana,M.C. Pally,NA
Telangana,"BC Welfare Department,Mulugu",RTI_telangana,Mulugu,NA
Telangana,Collectorate Mancherial,RTI_telangana,Mancherial,NA
Telangana,"Cooperative Department,Jagtial",RTI_telangana,Jagtial,NA
Telangana,"Drugs Control Administration, Siddipet",RTI_telangana,Siddipet,NA
Telangana,"Educational Department,Narayanpet",RTI_telangana,Narayanpet,NA
Telangana,"Ground Water Department, Suryapet",RTI_telangana,Suryapet,NA
Telangana,"Ground Water Department, Vikarabad",RTI_telangana,Vikarabad,NA
Telangana,"Ground Water Department, Yadadri Bhuvanagiri",RTI_telangana,Yadadri Bhuvanagiri,NA
Telangana,"Ground Water Department, Adilabad",RTI_telangana,Adilabad,NA
Telangana,"Ground Water Department, Hanamkonda",RTI_telangana,Hanamkonda,NA
Telangana,"Ground Water Department, Hyderabad (Nampally)",RTI_telangana,Hyderabad,Nampally
Telangana,"Ground Water Department, Jagitial District",RTI_telangana,Jagtial,NA
Telangana,"Ground Water Department, Kamareddy District",RTI_telangana,Kamareddy,NA
Telangana,"Ground Water Department, Karimnagar",RTI_telangana,Karimnagar,NA
Telangana,"Ground Water Department, Komaram Bheem Asifabad",RTI_telangana,Komaram Bheem Asifabad,NA
Telangana,"Ground Water Department, Mancherial",RTI_telangana,Mancherial,NA
Telangana,"Ground Water Department, Medak District",RTI_telangana,Medak,NA
Telangana,"Ground Water Department, Nagarkurnool District",RTI_telangana,Nagarkurnool,NA
Telangana,"Ground Water Department, Nizamabad District",RTI_telangana,Nizamabad,NA
Telangana,"Ground Water Department, Peddapalli District",RTI_telangana,Peddapalli,NA
Telangana,"Ground Water Department, Rajanna Sircilla District",RTI_telangana,Rajanna Sircilla,NA
Telangana,"Ground Water Department, Siddipet District",RTI_telangana,Siddipet,NA
Telangana,"Ground Water Department, Wanaparthy",RTI_telangana,Wanaparthy,NA
Telangana,"Ground Water Department, Warangal Rural District",RTI_telangana,Warangal,NA
Telangana,Health Medical & Family Welfare Department(DM&HO) Narsampet,RTI_telangana,Narsampet,NA
Telangana,Health Medical & Family Welfare Department(DM&HO) Wardhannapet,RTI_telangana,Wardhannapet,NA
Telangana,Health Medical & Family Welfare Department(PHC) Chennaraopet,RTI_telangana,Chennaraopet,NA
Telangana,Health Medical & Family Welfare Department(PHC) Medapally,RTI_telangana,Medapally,NA
Telangana,Health Medical & Family Welfare Department(PHC) Nekkonda,RTI_telangana,Nekkonda,NA
Telangana,Health Medical & Family Welfare Department(PHC) Paidipally,RTI_telangana,Paidipally,NA
Telangana,Health Medical & Family Welfare Department(PHC) Parvathagiri,RTI_telangana,Parvathagiri,NA
Telangana,"Health Medical & Family Welfare Department(PHC), Banojipet",RTI_telangana,Banojipet,NA
