Department,District,Block
"Animal Husbadry & Veterinary Department(DVH), Nalgonda",Nalgonda,Nalgonda
"Animal Husbadry & Veterinary Department(ISDP),Nalgonda",Nalgonda,Nalgonda
"Animal Husbadry & Veterinary Department(PVC), Chendurthi",Chendurthi,Chendurthi
"Animal Husbadry & Veterinary Department(PVC), Hanmajipet",Hanmajipet,Hanmajipet
"Animal Husbadry & Veterinary Department(PVC), Mustabad",Mustabad,Mustabad
"Animal Husbadry & Veterinary Department(PVC), Vemulawada (U",Vemulawada (U,Vemulawada (U
Tahsildar Veenavanka,Karimnagar,Veenavanka
"Animal Husbadry & Veterinary Department(ADDL), Nalgonda",Nalgonda,NA
Animal Husbadry & Veterinary Department(AVH) Kollapoor,Kollapoor,NA
"Animal Husbadry & Veterinary Department(DV&AHO), Nagarkurnool",Nagarkurnool,NA
"Animal Husbadry & Veterinary Department(PVC) , Thangallapalli",Thangallapalli,NA
"Animal Husbadry & Veterinary Department(PVC), Amrabad",Amrabad,NA
"Animal Husbadry & Veterinary Department(PVC), Boinpalli",Boinpalli,NA
"Animal Husbadry & Veterinary Department(PVC), Cheerlavancha",Cheerlavancha,NA
"Animal Husbadry & Veterinary Department(PVC), Ellanthakunta",Ellanthakunta,NA
"Animal Husbadry & Veterinary Department(PVC), Galipalli",Galipalli,NA
"Animal Husbadry & Veterinary Department(PVC), Gambhiraopet",Gambhiraopet,NA
"Animal Husbadry & Veterinary Department(PVC), Gollapalli",Gollapalli,NA
"Animal Husbadry & Veterinary Department(PVC), Konaraopet",Konaraopet,NA
"Animal Husbadry & Veterinary Department(PVC), Lingal",Lingal,NA
"Animal Husbadry & Veterinary Department(PVC), Manala",Manala,NA
"Animal Husbadry & Veterinary Department(PVC), Nizamabad",Nizamabad,NA
"Animal Husbadry & Veterinary Department(PVC), Rudhrangi",Rudhrangi,NA
"Animal Husbadry & Veterinary Department(PVC), Uppununthala",Uppununthala,NA
"Animal Husbadry & Veterinary Department(PVC), Vilasagar",Vilasagar,NA
"Animal Husbadry & Veterinary Department(PVC), Yellareddypet",Yellareddypet,NA
Animal Husbandry & Veterinary Department(DVAHO) Mahabubnagar,Mahabubnagar,NA
Animal Husbandry & Veterinary Department(DVAHO)) Janagaon,) Janagaon,NA
"Animal Husbandry&Veterinary Department,Alwal",Alwal,NA
"Animal Husbandry&Veterinary Department,Balanagar",Balanagar,NA
"Animal Husbandry&Veterinary Department,Dabilpur",Dabilpur,NA
"Animal Husbandry&Veterinary Department,Devara Yamjal",Devara Yamjal,NA
"Animal Husbandry&Veterinary Department,Dundigal",Dundigal,NA
"Animal Husbandry&Veterinary Department,Ghatkesar",Ghatkesar,NA
"Animal Husbandry&Veterinary Department,Keesara",Keesara,NA
"Animal Husbandry&Veterinary Department,Kukatpally",Kukatpally,NA
"Animal Husbandry&Veterinary Department,Malkajgiri",Malkajgiri,NA
"Animal Husbandry&Veterinary Department,Medchal",Medchal,NA
"Animal Husbandry&Veterinary Department,Nagaram",Nagaram,NA
"Animal Husbandry&Veterinary Department,Pocharam",Pocharam,NA
"Animal Husbandry&Veterinary Department,Pudur",Pudur,NA
"Animal Husbandry&Veterinary Department,Quthbullapur",Quthbullapur,NA
"Animal Husbandry&Veterinary Department,Shamirpet",Shamirpet,NA
"Animal Husbandry&Veterinary Department,Uddemarry",Uddemarry,NA
"Animal Husbandry&Veterinary Department,Uppal",Uppal,NA
"Animal Husbandry&Veterinary Department,Uppal,M.C. Pally",M.C. Pally,NA
"BC Welfare Department,Mulugu",Mulugu,NA
Collectorate Mancherial,Mancherial,NA
"Cooperative Department,Jagtial",Jagtial,NA
"Drugs Control Administration, Siddipet",Siddipet,NA
"Educational Department,Narayanpet",Narayanpet,NA
"Ground Water Department, Suryapet",Suryapet,NA
"Ground Water Department, Vikarabad",Vikarabad,NA
"Ground Water Department, Yadadri Bhuvanagiri",Yadadri Bhuvanagiri,NA
"Ground Water Department, Adilabad",Adilabad,NA
"Ground Water Department, Hanamkonda",Hanamkonda,NA
"Ground Water Department, Hyderabad (Nampally)",Hyderabad,Nampally
"Ground Water Department, Jagitial District",Jagtial,NA
"Ground Water Department, Kamareddy District",Kamareddy,NA
"Ground Water Department, Karimnagar",Karimnagar,NA
"Ground Water Department, Komaram Bheem Asifabad",Komaram Bheem Asifabad,NA
"Ground Water Department, Mancherial",Mancherial,NA
"Ground Water Department, Medak District",Medak,NA
"Ground Water Department, Nagarkurnool District",Nagarkurnool,NA
"Ground Water Department, Nizamabad District",Nizamabad,NA
"Ground Water Department, Peddapalli District",Peddapalli,NA
"Ground Water Department, Rajanna Sircilla District",Rajanna Sircilla,NA
"Ground Water Department, Siddipet District",Siddipet,NA
"Ground Water Department, Wanaparthy",Wanaparthy,NA
"Ground Water Department, Warangal Rural District",Warangal,NA
Health Medical & Family Welfare Department(DM&HO) Narsampet,Narsampet,NA
Health Medical & Family Welfare Department(DM&HO) Wardhannapet,Wardhannapet,NA
Health Medical & Family Welfare Department(PHC) Chennaraopet,Chennaraopet,NA
Health Medical & Family Welfare Department(PHC) Medapally,Medapally,NA
Health Medical & Family Welfare Department(PHC) Nekkonda,Nekkonda,NA
Health Medical & Family Welfare Department(PHC) Paidipally,Paidipally,NA
Health Medical & Family Welfare Department(PHC) Parvathagiri,Parvathagiri,NA
"Health Medical & Family Welfare Department(PHC), Banojipet",Banojipet,NA
"Health Medical & Family Welfare Department(PHC), Geesugonda",Geesugonda,NA
"Health Medical & Family Welfare Department(PHC), Nallabelly",Nallabelly,NA
"Health Medical & Family Welfare Department(PHC), Sangem",Sangem,NA
"Health Medical & Family Welfare Department(PHC),Alankanipet",Alankanipet,NA
Health Medical & Family Welfare Department(PHC)Duggondi,Duggondi,NA
Health Medical & Family Welfare Department(PHC)Keshavapur,Keshavapur,NA
Health Medical & Family Welfare Department(PHC)Khanapur,Khanapur,NA
Health Medical & Family Welfare Department(PHC)Raiparthy,Raiparthy,NA
"Health Medical & Family Welfare (HM&FW),Koti ,Hyderabad",Hyderabad,NA
"Health,Medical and Family welfare Department,Palwancha",Palwancha,NA
"Health,Medical&Family welfare Department, Kamareddy",Kamareddy,NA
"Home Department(Addl DGP, CID),TG,Hyderabad",Hyderabad,NA
"Home Department(Anti-Narcotics Bureau),Hyderabd",Hyderabd,NA
"Industries &Commerce Department,Kazipet",Kazipet,NA
"Industries&Commerce Department, Kamareddy",Kamareddy,NA
"Industries&Commerce Department,Jagtial",Jagtial,NA
"Industries&Commerce Department,Medak",Medak,NA
Information Technology Electronics and Communications Department,NA,NA
Information Technology Electronics and Communications Department (IT),NA,NA
"Irrigation & CAD (IW&PW) Department, Division 4, Jangaon",Jangaon,Jangaon
"Irrigation & CAD(IW&PW) Department, Division No.3, K.C.Colony",Warangal,K.C.Colony
"Irrigation & CAD(IW&PW) Department, Division 5, Jangaon",Jangaon,NA
"Irrigation & CAD(IW&PW) Department, Division 6, Palakurthy",Palakurthy,NA
"Irrigation & CAD(IW&PW) Department, Division No.1, Parkal",Parkal,NA
"Irrigation & CAD(IW&PW) Department, Division No.2, Nakkalagutta",Nakkalagutta,NA
"Irrigation & CAD(IW&PW) Department, Division No.7, R.S.Ghanpur",R.S.Ghanpur,NA
"Irrigation & CAD(IW&PW) Department, Jangaon",Jangaon,NA
"Irrigation & CAD(IW&PW) Department, Irrigation Circle,Hanumakonda",Hanamkonda,NA
Media Academy of Telangana State,NA,NA
"Mines & Geology Department, Jayashankar Bhupalapally",Jayashankar Bhupalapally,Jayashankar Bhupalapally
"Minorities Welfare Department, Warangal",Warangal,NA
"Panchayat Raj&Rural Development, Jagitial",Jagtial,Jayashankar Bhupalapally
"Planning Department,Narayanpet",Narayanpet,NA
"Revenue Department,,Narayanpet",Narayanpet,Jayashankar Bhupalapally
"Revenue Dept,(Pentlavelly)Nagarkurnool",Nagarkurnool,NA
"S.C. Development Department,Kothagudem",Bhadradri Kothagudem,Jayashankar Bhupalapally
"Scheduled Castes Service (Coordn)Development Department,Kotagudem",Kotagudem,NA
"Tahsildar, Danthalapalli",Danthalapalli,Jayashankar Bhupalapally
Thasildar VSaidapoor,Karimnagar,Saidapur
"(R&B) NH Sub Division,Khammam",Khammam,Khammam
"(R&B) NH Sub Division,Kothagudem",Bhadradri Kothagudem,Kothagudem
"(R&B) NH Sub Division,Suryapet",Suryapet,Suryapet
Animal Husbadry & Veterinary Department((DV&AHO). Vikarabad,Vikarabad,. Vikarabad
"Animal Husbadry & Veterinary Departmentr,Warangal",Warangal,Warangal
Animal Husbandry & Veterinary Department(DVAHO).Mulugu,Mulugu,.Mulugu
"0/o Tahsildar, Chityal Mandal Jayashankar Bhupalpally District",Jayashankar Bhupalapally,Chityal Mandal Jayashankar Bhupalpally District
"Adult Education, lakdikapul Hyderabad",Hyderabad,lakdikapul Hyderabad
"Agricultural & Co-Opration Department,Nizamabad",Nizamabad,Nizamabad
"Agricultural &Cooperation Department(Agricultural Marketing),jangaon",Jangaon,jangaon
"Agricultural &Cooperation Department(MarkFed Office), Jangaon",Jangaon,Jangaon
Agriculture & Cooperation Department J Gadwal,NA,NA
"Agriculture & Cooperation Department, Ranga Reddy",Ranga Reddy,NA
"Agriculture & Cooperation Department, Alampur",Alampur,NA
"Agriculture & Cooperation Department, Gadwal",Gadwal,NA
"Agriculture & Cooperation Department,Hyderabad",Hyderabad,NA
"Agriculture & Co-operation Department,Hyderabad",Hyderabad,NA
"Agriculture &Cooperation Department,Kothagudem",Bhadradri Kothagudem,Kothagudem
"Agriculture &Cooperation Department,Laxmidevipally",Bhadradri Kothagudem,Laxmidevipally
"Agriculture &Cooperation Department,Medchal",Medchal-Malkajgiri,Medchal
Agriculture (SECT),NA,NA
Agriculture and cooperation Department(Horticulture and Sericulture),NA,NA
"Agriculture and Co-operation Department, Hyderabad",Hyderabad,NA
"Agriculture and co-operation department,Mahabubabad",Mahabubabad,NA
"Agriculture& Cooperation Department, Ghanpur (Stn)",Ghanpur (Stn),NA
"Agriculture& Cooperation Department, Bachannapet",Bachannapet,NA
"Agriculture& Cooperation Department, Devaruppula",Devaruppula,NA
"Agriculture& Cooperation Department, Jangaon",Jangaon,NA
"Agriculture& Cooperation Department, Kodakandla",Kodakandla,NA
"Agriculture& Cooperation Department, Lingala Ghanpur",Lingala Ghanpur,NA
"Agriculture& Cooperation Department, Palakurthy",Palakurthy,NA
"Agriculture& Cooperation Department, Raghunathpally",Raghunathpally,NA
"Agriculture& Cooperation Department, Tharigoppula",Tharigoppula,NA
"Agriculture& Cooperation Department, Wadlakonda Road",Wadlakonda Road,NA
"Agriculture& Cooperation Department, Wadlakonda Road,Jangaon",Jangaon,NA
"Agriculture& Cooperation Department, Zaffergadh",Zaffergadh,NA
"Agriculture& Cooperation Department,Chilpur",Chilpur,NA
"Agriculture& Cooperation Department,Ghanpur (Stn)",Ghanpur (Stn),NA
"Agriculture& Cooperation Department,Narmetta",Narmetta,NA
"Agriculture&Cooperatiion Department,Asifabad",Asifabad,NA
Agriculture&Cooperation ( AGRIL.MARKETING DEPARTMENT ) BHONGIR,BHONGIR,NA
"Agriculture&Cooperation (Horticulture )Department,Medak",Medak,NA
"Agriculture&Cooperation Department( Markiting),Narayanpet",Narayanpet,NA
"Agriculture&Cooperation Department(Agricultural Marketing ),Khammam",Khammam,NA
Agriculture&Cooperation Department(Markfed)Narayanpet,Narayanpet,NA
"Agriculture&Cooperation Department, ( R) Kodangal",( R) Kodangal,NA
"Agriculture&Cooperation Department, ( R) Tandur",( R) Tandur,NA
"Agriculture&Cooperation Department, ( R) Vikarabad",Vikarabad,NA
"Agriculture&Cooperation Department, Kamareddy",Kamareddy,NA
"Agriculture&Cooperation Department, Mahabubnagar",Mahabubnagar,NA
"Agriculture&Cooperation department, Makthal",Makthal,NA
"Agriculture&Cooperation Department, Mancherial",Mancherial,NA
"Agriculture&Cooperation department, Narayanpet",Narayanpet,NA
"Agriculture&Cooperation Department, Warangal",Warangal,NA
"Agriculture&Cooperation Department, Yadadri Bhuvanagir",Yadadri Bhuvanagir,NA
"Agriculture&Cooperation Department,Adilabad",Adilabad,NA
"Agriculture&Cooperation Department,Kamareddy",Kamareddy,NA
"Agriculture&Cooperation department,Kosgi",Kosgi,NA
"Agriculture&Cooperation Department,Mahabubnagar",Mahabubnagar,NA
"Agriculture&Cooperation Department,Medak",Medak,NA
"Agriculture&Cooperation Department,Mulugu",Mulugu,NA
"Agriculture&Cooperation Department,Nagarkurnool",Nagarkurnool,NA
"Agriculture&Cooperation Department,Nizamabad",Nizamabad,NA
"Agriculture&Cooperation Department,Vikarabad",Vikarabad,NA
Agriculture&Co-operationDept(ProfessorJayashankarTGAgroUniversity),NA,NA
"AGRIL. MARKET COMMITTEE, MOTHKUR",MOTHKUR,NA
"AGRIL.MARKET COMMITTEE VALIGONDA HQ, RAMANNAPET",RAMANNAPET,NA
"AGRIL.MARKET COMMITTEE, ALAIR,Yadadri",Yadadri,NA
"AGRIL.MARKET COMMITTEE,CHOTUPPAL",CHOTUPPAL,NA
"Animal Huasbandry&Fisheries Department,Kothagudem",Bhadradri Kothagudem,NA
Animal Husbadry & Veterinary Department,NA,NA
"Animal Husbadry & Veterinary Department((AVH), Peddapally",Peddapally,NA
Animal Husbadry & Veterinary Department((DV&AHO) Kothagudem,Bhadradri Kothagudem,NA
Animal Husbadry & Veterinary Department((DV&AHO) Medak,Medak,NA
Animal Husbadry & Veterinary Department((DV&AHO) Wanaparthy,Wanaparthy,NA
"Animal Husbadry & Veterinary Department((DV&AHO), Rajanna Sircilla",Rajanna Sircilla,NA
"Animal Husbadry & Veterinary Department((DV&AHO), Hanumakonda",Hanamkonda,NA
"Animal Husbadry & Veterinary Department((DV&AHO),KAMAREDDY",Kamareddy,NA
"Animal Husbadry & Veterinary Department((DV&AHO),Khammam",Khammam,NA
"Animal Husbadry & Veterinary Department((DV&AHO),Nirmal",Nirmal,NA
"Animal Husbadry & Veterinary Department((DV&AHO),Nizamabad",Nizamabad,NA
Animal Husbadry & Veterinary Department(A.V.H). Kodangl,. Kodangl,NA
Animal Husbadry & Veterinary Department(A.V.H). Marpally,. Marpally,NA
Animal Husbadry & Veterinary Department(A.V.H). Parigi,. Parigi,NA
Animal Husbadry & Veterinary Department(A.V.H). Vikarabad,Vikarabad,NA
Animal Husbadry & Veterinary Department(A.V.H).Thandur,.Thandur,NA
Animal Husbadry & Veterinary Department(ADDL) Adilabad,Adilabad,NA
Animal Husbadry & Veterinary Department(ADDL) Mahabubnagar,Mahabubnagar,NA
Animal Husbadry & Veterinary Department(ADDL) Sangareddy,Sangareddy,NA
"Animal Husbadry & Veterinary Department(ADDL), Hanumakonda",Hanamkonda,NA
"Animal Husbadry & Veterinary Department(ADDL), Karimnagar",Karimnagar,NA
"Animal Husbadry & Veterinary Department(ADDL),Nizamabad",Nizamabad,NA
"Animal Husbadry & Veterinary Department(AH, ISDP), Hanumakonda",Hanamkonda,NA
Animal Husbadry & Veterinary Department(AVH) Achampet,Achampet,NA
Animal Husbadry & Veterinary Department(AVH) Alampur,Alampur,NA
Animal Husbadry & Veterinary Department(AVH) Armoor,Armoor,NA
Animal Husbadry & Veterinary Department(AVH) Aswaraopeta,Aswaraopeta,NA
Animal Husbadry & Veterinary Department(AVH) Atmakur,Atmakur,NA
Animal Husbadry & Veterinary Department(AVH) Badepally,Badepally,NA
Animal Husbadry & Veterinary Department(AVH) Bhadrachalam,Bhadrachalam,NA
Animal Husbadry & Veterinary Department(AVH) Boath,Boath,NA
Animal Husbadry & Veterinary Department(AVH) Burgampahad,Burgampahad,NA
Animal Husbadry & Veterinary Department(AVH) Cherial,Cherial,NA
Animal Husbadry & Veterinary Department(AVH) Chevella,Chevella,NA
Animal Husbadry & Veterinary Department(AVH) Chityal,Chityal,NA
Animal Husbadry & Veterinary Department(AVH) Dubbak,Dubbak,NA
Animal Husbadry & Veterinary Department(AVH) Gadwal,Gadwal,NA
Animal Husbadry & Veterinary Department(AVH) Gajwel,Gajwel,NA
Animal Husbadry & Veterinary Department(AVH) Gudur,Gudur,NA
Animal Husbadry & Veterinary Department(AVH) Husnabad,Husnabad,NA
Animal Husbadry & Veterinary Department(AVH) Ibrahimpatnam,Ibrahimpatnam,NA
Animal Husbadry & Veterinary Department(AVH) Jagtial,Jagtial,NA
Animal Husbadry & Veterinary Department(AVH) Jogipet,Jogipet,NA
Animal Husbadry & Veterinary Department(AVH) Kalwakurthy,Kalwakurthy,NA
Animal Husbadry & Veterinary Department(AVH) Khanapur,Khanapur,NA
Animal Husbadry & Veterinary Department(AVH) KOTHAGUDEM,Bhadradri Kothagudem,NA
Animal Husbadry & Veterinary Department(AVH) Maheshwaram,Maheshwaram,NA
Animal Husbadry & Veterinary Department(AVH) Makthal,Makthal,NA
Animal Husbadry & Veterinary Department(AVH) Medak,Medak,NA
Animal Husbadry & Veterinary Department(AVH) Metpelly,Metpelly,NA
Animal Husbadry & Veterinary Department(AVH) Mulkanoor,Mulkanoor,NA
Animal Husbadry & Veterinary Department(AVH) Nagarkurnool,Nagarkurnool,NA
Animal Husbadry & Veterinary Department(AVH) Narayankhed,Narayankhed,NA
