application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
TG-003,tg2026q3_01,Telangana,"Agriculture& Cooperation Department, Wadlakonda Road",AGRICULTURE AND COOPERATION,Wadlakonda Road,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-004,tg2026q3_01,Telangana,Agriculture&Cooperation ( AGRIL.MARKETING DEPARTMENT ) BHONGIR,AGRICULTURE AND COOPERATION,BHONGIR,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-007,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(AVH),N.K.Palli",ANIMAL HUSBADRY AND VETERINARY,N.K.Palli,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-009,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Penchikalpet,ANIMAL HUSBADRY AND VETERINARY,Penchikalpet,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-013,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Yousufpet,ANIMAL HUSBADRY AND VETERINARY,Yousufpet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-019,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC)GADDIPALLY,ANIMAL HUSBADRY AND VETERINARY,GADDIPALLY,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-022,tg2026q3_01,Telangana,"Animal Husbandry&Fisheries Department,Medak",ANIMAL HUSBANDRY AND FISHERIES,Medak,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-024,tg2026q3_01,Telangana,"Animal Husbandry & Veterinary Department(DVAHO), Siddipet",ANIMAL HUSBANDRY AND VETERINARY,Siddipet,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-027,tg2026q3_01,Telangana,"BC Welfare Department,Nizamabad",BC WELFARE,Nizamabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-030,tg2026q3_01,Telangana,collectorate Narayanpet,COLLECTORATE NARAYANPET,Narayanpet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-033,tg2026q3_01,Telangana,"Consumer Affairs,Food&Civil Supplies Department,Gadwal",CONSUMER AFFAIRS,Gadwal,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-035,tg2026q3_01,Telangana,"Consumer Affairs&Civil Supplies , Nizamabad",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Nizamabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-040,tg2026q3_01,Telangana,Cooperation Department(Cooperation & Registrar) Mulugu,COOPERATION,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-041,tg2026q3_01,Telangana,"Cooperation Department,Medak",COOPERATION,Medak,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-050,tg2026q3_01,Telangana,"Drugs Control Administration, RangaReddy",DRUGS CONTROL ADMINISTRATION,Ranga Reddy,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-051,tg2026q3_01,Telangana,"Education Department(Govt. Polytechnic Station Ghapur, shivunipally",EDUCATION,shivunipally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-052,tg2026q3_01,Telangana,"Education Dept(Government Polytechnic for Women), Jogipet, Sangareddy",EDUCATION,Sangareddy,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-054,tg2026q3_01,Telangana,"Education(Higher Education)Dept(Govt.Polytechnic For Women),Siddipet",EDUCATION,Siddipet,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-056,tg2026q3_01,Telangana,"EFST(Telangana State Forest Development Cooperation Ltd)Department,Hyd",EFST,Hyd,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-062,tg2026q3_01,Telangana,"Environment , Forest , science & Technology, Ramagundam",ENVIRONMENT,Ramagundam,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-065,tg2026q3_01,Telangana,Finance Department( Sub-Treasuries & Accounts) Kukatpally,FINANCE,Kukatpally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-073,tg2026q3_01,Telangana,"Ground Water Department, Mancherial",GROUND WATER,Mancherial,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-077,tg2026q3_01,Telangana,"Health,Medical&Family Department,thurkapally",HEALTH,thurkapally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-078,tg2026q3_01,Telangana,"Health,Medical&Family welfare Department,Mulugu",HEALTH,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-081,tg2026q3_01,Telangana,"Health Medical & Family Welfare Department,SANGAREDDY",HEALTH MEDICAL AND FAMILY WELFARE,Sangareddy,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-082,tg2026q3_01,Telangana,"Health Medical & Family Welfare, MANCHERIAL",HEALTH MEDICAL AND FAMILY WELFARE,Mancherial,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-091,tg2026q3_01,Telangana,"Home Department, Jangaon",HOME,Jangaon,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-092,tg2026q3_01,Telangana,"Home( Fire, Disaster Response, Emergency and Civil Defence) Department",HOME,Emergency and Civil Defence) Department,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-097,tg2026q3_01,Telangana,"Irriation & CAD(IW&PW) Department,Mahabubnagar",IRRIATION AND CAD,Mahabubnagar,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-100,tg2026q3_01,Telangana,"Irrigation & CAD(IW&PW) Department, Irrigation Circle Bhadrachalam",IRRIGATION AND CAD,Irrigation Circle Bhadrachalam,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-104,tg2026q3_01,Telangana,"Irrigation &CAD Department,Bhupalpally-02",IRRIGATION AND CAD,Jayashankar Bhupalapally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-133,tg2026q3_01,Telangana,Panchayat Raj&Rural Developmen(Mandal Praja Parishad) Mahamutharam,PANCHAYAT RAJ AND RURAL DEVELOPMEN,Jayashankar Bhupalpally,Mahamutharam,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-134,tg2026q3_01,Telangana,Panchayat Raj&Rural Developmen(Mandal Praja Parishad) Tekumatla,PANCHAYAT RAJ AND RURAL DEVELOPMEN,Jayashankar Bhupalpally,Tekumatla,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-137,tg2026q3_01,Telangana,Panchayat Raj & Rural Development(Zilla Praja Parisahad )Kamareddy,PANCHAYAT RAJ AND RURAL DEVELOPMENT,Kamareddy,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-138,tg2026q3_01,Telangana,"Panchayat Raj &Rural development dept,MPP Chunchupalli",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Bhadradri Kothagudem,Chunchupalli,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-142,tg2026q3_01,Telangana,Panchayat Raj and Rural Development(Mandal Praja Parishad)Bheemaram,PANCHAYAT RAJ AND RURAL DEVELOPMENT,Mancherial,Bheemaram,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-144,tg2026q3_01,Telangana,Panchayat Raj and Rural Development(Mandal Praja Parishad)Chennur,PANCHAYAT RAJ AND RURAL DEVELOPMENT,Mancherial,Chennur,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-147,tg2026q3_01,Telangana,"Panchayat Raj&Rural Development Department,Bhoraj",PANCHAYAT RAJ AND RURAL DEVELOPMENT,Adilabad,Bhoraj,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-152,tg2026q3_01,Telangana,Panchayat Raj&Rural Development Department Mahabubabad,PANCHAYAT RAJ AND RURAL DEVELOPMENT DEPARTMENT MAHABUBABAD,Mahabubabad,Mahabubabad,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-155,tg2026q3_01,Telangana,Panchayath Raj&Rural Department(Mandal Praja Parishad) Nekkonda,PANCHAYATH RAJ AND RURAL,Hanumakonda,Nekkonda,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-160,tg2026q3_01,Telangana,"Panchayathraj&Rural(MPP) Development,Wazeedu",PANCHAYATHRAJ AND RURAL,Mulugu,Wazeedu,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-167,tg2026q3_01,Telangana,"Registration and Stamps Department,SRO Nagarkurnool",REGISTRATION AND STAMPS,Nagarkurnool,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-177,tg2026q3_01,Telangana,"Revenue Department, Uppal",REVENUE,Uppal,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-178,tg2026q3_01,Telangana,"Revenue Department, Zaffergadh,Jangaon",REVENUE,Jangaon,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-181,tg2026q3_01,Telangana,"Revenue Department,Bichkunda",REVENUE,Bichkunda,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
