application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
TG-001,tg2026q3_01,Telangana,"Agriculture and Co-operation Department, Hyderabad",AGRICULTURE AND CO-OPERATION,Hyderabad,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-002,tg2026q3_01,Telangana,"Agriculture & Cooperation Department, Gadwal",AGRICULTURE AND COOPERATION,Gadwal,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-003,tg2026q3_01,Telangana,"Agriculture& Cooperation Department, Wadlakonda Road",AGRICULTURE AND COOPERATION,Wadlakonda Road,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-004,tg2026q3_01,Telangana,Agriculture&Cooperation ( AGRIL.MARKETING DEPARTMENT ) BHONGIR,AGRICULTURE AND COOPERATION,BHONGIR,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-005,tg2026q3_01,Telangana,"Agriculture&Cooperation Department,Medak",AGRICULTURE AND COOPERATION,Medak,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-006,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(ADDL) Adilabad,ANIMAL HUSBADRY AND VETERINARY,Adilabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-007,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(AVH),N.K.Palli",ANIMAL HUSBADRY AND VETERINARY,N.K.Palli,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-008,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Madhapur,ANIMAL HUSBADRY AND VETERINARY,Madhapur,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-009,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Penchikalpet,ANIMAL HUSBADRY AND VETERINARY,Penchikalpet,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-010,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) RAMADUGU,ANIMAL HUSBADRY AND VETERINARY,RAMADUGU,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-011,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Ravulapally,ANIMAL HUSBADRY AND VETERINARY,Ravulapally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-012,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Velgonda,ANIMAL HUSBADRY AND VETERINARY,Velgonda,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-013,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Yousufpet,ANIMAL HUSBADRY AND VETERINARY,Yousufpet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-014,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(PVC), Kondrapole",ANIMAL HUSBADRY AND VETERINARY,Kondrapole,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-015,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(PVC), Thadoor",ANIMAL HUSBADRY AND VETERINARY,Thadoor,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,
TG-016,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(PVC),Aloor",ANIMAL HUSBADRY AND VETERINARY,Aloor,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-017,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(PVC),Awadm",ANIMAL HUSBADRY AND VETERINARY,Awadm,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-018,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC).Duggondi,ANIMAL HUSBADRY AND VETERINARY,.Duggondi,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-019,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC)GADDIPALLY,ANIMAL HUSBADRY AND VETERINARY,GADDIPALLY,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-020,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC)Tiryani,ANIMAL HUSBADRY AND VETERINARY,Tiryani,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-021,tg2026q3_01,Telangana,"Animal Husbandry&Fisheries Department, Jangaon",ANIMAL HUSBANDRY AND FISHERIES,Jangaon,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-022,tg2026q3_01,Telangana,"Animal Husbandry&Fisheries Department,Medak",ANIMAL HUSBANDRY AND FISHERIES,Medak,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-023,tg2026q3_01,Telangana,"Animal Husbandry&Fisheries Department,Mulugu",ANIMAL HUSBANDRY AND FISHERIES,Mulugu,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-024,tg2026q3_01,Telangana,"Animal Husbandry & Veterinary Department(DVAHO), Siddipet",ANIMAL HUSBANDRY AND VETERINARY,Siddipet,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-025,tg2026q3_01,Telangana,"Animal Husbandry&Veterinary Department,Ghatkesar",ANIMAL HUSBANDRY AND VETERINARY,Ghatkesar,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-026,tg2026q3_01,Telangana,"Animal Husbandry&Veterinary Department,Nagaram",ANIMAL HUSBANDRY AND VETERINARY,Nagaram,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-027,tg2026q3_01,Telangana,"BC Welfare Department,Nizamabad",BC WELFARE,Nizamabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-028,tg2026q3_01,Telangana,"BC Welfare,Govt. BC College Girls Hostel, Adilabad",BC WELFARE,Adilabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-029,tg2026q3_01,Telangana,"BC Welfare,Govt. BC Girls Hostel, Echoda",BC WELFARE,Echoda,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-030,tg2026q3_01,Telangana,collectorate Narayanpet,COLLECTORATE NARAYANPET,Narayanpet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-031,tg2026q3_01,Telangana,"Consumer Affairs ,Food &CS Department(Legal Metrology)Medak",CONSUMER AFFAIRS,Medak,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-032,tg2026q3_01,Telangana,"Consumer Affairs, Food and Civil Supplies (Commission-II)Nampally",CONSUMER AFFAIRS,Food and Civil Supplies (Commission-II)Nampally,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-033,tg2026q3_01,Telangana,"Consumer Affairs,Food&Civil Supplies Department,Gadwal",CONSUMER AFFAIRS,Gadwal,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-034,tg2026q3_01,Telangana,"Consumer Affairs& Civil Supplies Department,Medak",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Medak,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-035,tg2026q3_01,Telangana,"Consumer Affairs&Civil Supplies , Nizamabad",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Nizamabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-036,tg2026q3_01,Telangana,"Consumer Affairs&Civil Supplies Department, Secunderabad",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Secunderabad,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-037,tg2026q3_01,Telangana,"Consumer Affairs&CS Department,Manzoornagar",CONSUMER AFFAIRS AND CS,Manzoornagar,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,
TG-038,tg2026q3_01,Telangana,"Consumer Affairs&CS Department,Narayanpet",CONSUMER AFFAIRS AND CS,Narayanpet,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-039,tg2026q3_01,Telangana,"Consumer Affairs&CS Department,Warangal",CONSUMER AFFAIRS AND CS,Warangal,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-040,tg2026q3_01,Telangana,Cooperation Department(Cooperation & Registrar) Mulugu,COOPERATION,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-041,tg2026q3_01,Telangana,"Cooperation Department,Medak",COOPERATION,Medak,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-042,tg2026q3_01,Telangana,"Cooperation Department,Narayanpet",COOPERATION,Narayanpet,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-043,tg2026q3_01,Telangana,Director of Sugar and Cane Commissioner,DIRECTOR OF SUGAR AND CANE COMMISSIONER,,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-044,tg2026q3_01,Telangana,"Distrcit Industries Centre, Karimnagar",DISTRCIT INDUSTRIES CENTRE,Karimnagar,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-045,tg2026q3_01,Telangana,"District (R&B) Office, Mancherial",DISTRICT,Mancherial,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,
TG-046,tg2026q3_01,Telangana,District Survey Office Jagtial,DISTRICT SURVEY OFFICE JAGTIAL,Jagtial,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-047,tg2026q3_01,Telangana,"Drugs Control Administration, Mancherial",DRUGS CONTROL ADMINISTRATION,Mancherial,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-048,tg2026q3_01,Telangana,"Drugs Control Administration, Narayanpet",DRUGS CONTROL ADMINISTRATION,Narayanpet,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-049,tg2026q3_01,Telangana,"Drugs Control Administration, Nirmal",DRUGS CONTROL ADMINISTRATION,Nirmal,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-050,tg2026q3_01,Telangana,"Drugs Control Administration, RangaReddy",DRUGS CONTROL ADMINISTRATION,Ranga Reddy,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-051,tg2026q3_01,Telangana,"Education Department(Govt. Polytechnic Station Ghapur, shivunipally",EDUCATION,shivunipally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-052,tg2026q3_01,Telangana,"Education Dept(Government Polytechnic for Women), Jogipet, Sangareddy",EDUCATION,Sangareddy,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-053,tg2026q3_01,Telangana,"Education(Higher Education)Dept(Government Polytechnic), Bellampally",EDUCATION,Bellampally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-054,tg2026q3_01,Telangana,"Education(Higher Education)Dept(Govt.Polytechnic For Women),Siddipet",EDUCATION,Siddipet,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-055,tg2026q3_01,Telangana,"EFST(TG State Forest Development Crop Ltd)Dept,Medak",EFST,Medak,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-056,tg2026q3_01,Telangana,"EFST(Telangana State Forest Development Cooperation Ltd)Department,Hyd",EFST,Hyd,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-057,tg2026q3_01,Telangana,"EFST(Telangana State Forest Development Corp Ltd)Dept,Paloncha",EFST,Paloncha,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-058,tg2026q3_01,Telangana,Energy Department (TGTRANSCO) Khammam,ENERGY,Khammam,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,
TG-059,tg2026q3_01,Telangana,Energy Department(TGGENCO)Peddapally,ENERGY,Peddapally,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-060,tg2026q3_01,Telangana,"Energy Department(TGGENCO)Ramagundam ,Peddapalli",ENERGY,Peddapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-061,tg2026q3_01,Telangana,"Environment , Forest , science & Technology, Nalgonda",ENVIRONMENT,Nalgonda,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-062,tg2026q3_01,Telangana,"Environment , Forest , science & Technology, Ramagundam",ENVIRONMENT,Ramagundam,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-063,tg2026q3_01,Telangana,"Environment , Forest , science & Technology, Warangal",ENVIRONMENT,Warangal,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-064,tg2026q3_01,Telangana,"Finance Department (Audit),Jangaon",FINANCE,Jangaon,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-065,tg2026q3_01,Telangana,Finance Department( Sub-Treasuries & Accounts) Kukatpally,FINANCE,Kukatpally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-066,tg2026q3_01,Telangana,"Finance Department(State audit),kothagudem",FINANCE,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-067,tg2026q3_01,Telangana,"Finance Department(Sub Treasury), Kodakandla",FINANCE,Kodakandla,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-068,tg2026q3_01,Telangana,"Fire Station, Huzurabad",FIRE STATION,Huzurabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-069,tg2026q3_01,Telangana,"Fire Station, Kashmirgadda",FIRE STATION,Kashmirgadda,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-070,tg2026q3_01,Telangana,"Ground Water Department, Jagitial District",GROUND WATER,Jagtial,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-071,tg2026q3_01,Telangana,"Ground Water Department, Jayashankar Bhupalapally",GROUND WATER,Jayashankar Bhupalapally,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-072,tg2026q3_01,Telangana,"Ground Water Department, Komaram Bheem Asifabad",GROUND WATER,Komaram Bheem Asifabad,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-073,tg2026q3_01,Telangana,"Ground Water Department, Mancherial",GROUND WATER,Mancherial,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-074,tg2026q3_01,Telangana,Handicrafts Welfare,HANDICRAFTS WELFARE,,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-075,tg2026q3_01,Telangana,"Health,Medical&Family Department, Addagudur",HEALTH,Addagudur,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-076,tg2026q3_01,Telangana,"Health,Medical&Family Department,Yadadri",HEALTH,Yadadri,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-077,tg2026q3_01,Telangana,"Health,Medical&Family Department,thurkapally",HEALTH,thurkapally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-078,tg2026q3_01,Telangana,"Health,Medical&Family welfare Department,Mulugu",HEALTH,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-079,tg2026q3_01,Telangana,"Health Medical & Family Welfare Department,MEDCHAL",HEALTH MEDICAL AND FAMILY WELFARE,Medchal,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-080,tg2026q3_01,Telangana,"Health Medical & Family Welfare Department,NARAYANPET",HEALTH MEDICAL AND FAMILY WELFARE,Narayanpet,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-081,tg2026q3_01,Telangana,"Health Medical & Family Welfare Department,SANGAREDDY",HEALTH MEDICAL AND FAMILY WELFARE,Sangareddy,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-082,tg2026q3_01,Telangana,"Health Medical & Family Welfare, MANCHERIAL",HEALTH MEDICAL AND FAMILY WELFARE,Mancherial,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-083,tg2026q3_01,Telangana,"Higher Education (Intermediate Education), Rajanna Sircilla",HIGHER EDUCATION,Rajanna Sircilla,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-084,tg2026q3_01,Telangana,"Higher Education(TS Council of Higher Education)Department,Hyd",HIGHER EDUCATION,Hyd,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-085,tg2026q3_01,Telangana,Higher Education(Technical Education )Kosgi,HIGHER EDUCATION,Kosgi,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-086,tg2026q3_01,Telangana,"Home Department(15th Battalion),Khammam",HOME,Khammam,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-087,tg2026q3_01,Telangana,"Home Department(7th Battalion TGSP), Dichpally",HOME,Dichpally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-088,tg2026q3_01,Telangana,Home Department(Fire Station)Choutuppal,HOME,Choutuppal,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-089,tg2026q3_01,Telangana,"Home Department(SHO), Zaffergadh,Jangaon",HOME,Jangaon,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-090,tg2026q3_01,Telangana,"Home Department(Telangana Police Recruitment Board),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-091,tg2026q3_01,Telangana,"Home Department, Jangaon",HOME,Jangaon,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-092,tg2026q3_01,Telangana,"Home( Fire, Disaster Response, Emergency and Civil Defence) Department",HOME,Emergency and Civil Defence) Department,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-093,tg2026q3_01,Telangana,"Industries & Commerce Dept(TG State Avation Corp Ltd),Begumpet",INDUSTRIES AND COMMERCE,Begumpet,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-094,tg2026q3_01,Telangana,"Industries &Commerce Department,Nagarkurnool",INDUSTRIES AND COMMERCE,Nagarkurnool,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,
TG-095,tg2026q3_01,Telangana,"Industries&Commerce(Handloom & Textiles)Department, Jangaon",INDUSTRIES AND COMMERCE,Jangaon,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-096,tg2026q3_01,Telangana,"Irriation & CAD (IW&PW)Department,Bhoothpur",IRRIATION AND CAD,Bhoothpur,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,
TG-097,tg2026q3_01,Telangana,"Irriation & CAD(IW&PW) Department,Mahabubnagar",IRRIATION AND CAD,Mahabubnagar,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-098,tg2026q3_01,Telangana,"Irrigation & CAD(IW&PW) Department, Division 2 Aswaraopeta",IRRIGATION AND CAD,Division 2 Aswaraopeta,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,
TG-099,tg2026q3_01,Telangana,"Irrigation & CAD(IW&PW) Department, Division No.2, Nakkalagutta",IRRIGATION AND CAD,Nakkalagutta,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-100,tg2026q3_01,Telangana,"Irrigation & CAD(IW&PW) Department, Irrigation Circle Bhadrachalam",IRRIGATION AND CAD,Irrigation Circle Bhadrachalam,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,
TG-101,tg2026q3_01,Telangana,"Irrigation & CAD(IW&PW) Dept,K.C.Colony, Chinthagattu Camp Hanumakonda",IRRIGATION AND CAD,Hanamkonda,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-102,tg2026q3_01,Telangana,"Irrigation &CAD Department(Telangana Development Corporation Lmt),Hyd",IRRIGATION AND CAD,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-103,tg2026q3_01,Telangana,"Irrigation &CAD Department,Annapurna colony",IRRIGATION AND CAD,Annapurna colony,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-104,tg2026q3_01,Telangana,"Irrigation &CAD Department,Bhupalpally-02",IRRIGATION AND CAD,Jayashankar Bhupalapally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,
TG-105,tg2026q3_01,Telangana,"Labour ,Employment Training&Factories(Corporation) Department,Jagtial",LABOUR,Jagtial,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,
