application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,payment_reference,due_date,notes
TG-008,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Madhapur,ANIMAL HUSBADRY AND VETERINARY,Madhapur,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-010,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) RAMADUGU,ANIMAL HUSBADRY AND VETERINARY,RAMADUGU,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-011,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC) Ravulapally,ANIMAL HUSBADRY AND VETERINARY,Ravulapally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-016,tg2026q3_01,Telangana,"Animal Husbadry & Veterinary Department(PVC),Aloor",ANIMAL HUSBADRY AND VETERINARY,Aloor,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-020,tg2026q3_01,Telangana,Animal Husbadry & Veterinary Department(PVC)Tiryani,ANIMAL HUSBADRY AND VETERINARY,Tiryani,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-021,tg2026q3_01,Telangana,"Animal Husbandry&Fisheries Department, Jangaon",ANIMAL HUSBANDRY AND FISHERIES,Jangaon,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-028,tg2026q3_01,Telangana,"BC Welfare,Govt. BC College Girls Hostel, Adilabad",BC WELFARE,Adilabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-047,tg2026q3_01,Telangana,"Drugs Control Administration, Mancherial",DRUGS CONTROL ADMINISTRATION,Mancherial,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-048,tg2026q3_01,Telangana,"Drugs Control Administration, Narayanpet",DRUGS CONTROL ADMINISTRATION,Narayanpet,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-053,tg2026q3_01,Telangana,"Education(Higher Education)Dept(Government Polytechnic), Bellampally",EDUCATION,Bellampally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-059,tg2026q3_01,Telangana,Energy Department(TGGENCO)Peddapally,ENERGY,Peddapally,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-060,tg2026q3_01,Telangana,"Energy Department(TGGENCO)Ramagundam ,Peddapalli",ENERGY,Peddapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-061,tg2026q3_01,Telangana,"Environment , Forest , science & Technology, Nalgonda",ENVIRONMENT,Nalgonda,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-063,tg2026q3_01,Telangana,"Environment , Forest , science & Technology, Warangal",ENVIRONMENT,Warangal,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
TG-064,tg2026q3_01,Telangana,"Finance Department (Audit),Jangaon",FINANCE,Jangaon,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,
TG-069,tg2026q3_01,Telangana,"Fire Station, Kashmirgadda",FIRE STATION,Kashmirgadda,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,
