application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
TG-001,tg2026q3_02,Telangana,"Agriculture& Cooperation Department, Bachannapet",AGRICULTURE AND COOPERATION,Bachannapet,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-002,tg2026q3_02,Telangana,"Agriculture& Cooperation Department, Tharigoppula",AGRICULTURE AND COOPERATION,Tharigoppula,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-003,tg2026q3_02,Telangana,"Agriculture&Cooperation Department, ( R) Kodangal",AGRICULTURE AND COOPERATION,( R) Kodangal,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-004,tg2026q3_02,Telangana,"Agriculture&Cooperation Department,Nagarkurnool",AGRICULTURE AND COOPERATION,Nagarkurnool,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-005,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) AIZA,ANIMAL HUSBADRY AND VETERINARY,AIZA,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-006,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Aloor,ANIMAL HUSBADRY AND VETERINARY,Aloor,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-007,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Dilawarpur,ANIMAL HUSBADRY AND VETERINARY,Dilawarpur,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-008,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Gattulppala Pally,ANIMAL HUSBADRY AND VETERINARY,Gattulppala Pally,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-009,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Gudihathnoor,ANIMAL HUSBADRY AND VETERINARY,Gudihathnoor,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-010,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Kowdipally,ANIMAL HUSBADRY AND VETERINARY,Kowdipally,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-011,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) MARAMUNAGALA,ANIMAL HUSBADRY AND VETERINARY,MARAMUNAGALA,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-012,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Pegadapally,ANIMAL HUSBADRY AND VETERINARY,Pegadapally,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-013,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Rudrar,ANIMAL HUSBADRY AND VETERINARY,Rudrar,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-014,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) SirpurT,ANIMAL HUSBADRY AND VETERINARY,SirpurT,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-015,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Tekmal,ANIMAL HUSBADRY AND VETERINARY,Tekmal,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-016,tg2026q3_02,Telangana,"Animal Husbadry & Veterinary Department(PVC), Thummanpet",ANIMAL HUSBADRY AND VETERINARY,Thummanpet,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-017,tg2026q3_02,Telangana,"Animal Husbadry & Veterinary Department(PVC),Julapalli",ANIMAL HUSBADRY AND VETERINARY,Julapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-018,tg2026q3_02,Telangana,"Animal Husbadry & Veterinary Department(PVC),Thimmapur",ANIMAL HUSBADRY AND VETERINARY,Thimmapur,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-019,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC).Mangapeta,ANIMAL HUSBADRY AND VETERINARY,.Mangapeta,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-020,tg2026q3_02,Telangana,Animal Husbandry and Fisheries,ANIMAL HUSBANDRY AND FISHERIES,,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-021,tg2026q3_02,Telangana,"Animal Husbandry&Fisheries Department, Peddpalli",ANIMAL HUSBANDRY AND FISHERIES,Peddapalli,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-022,tg2026q3_02,Telangana,"Animal husbandry &Fisheries Department,Masab Tank, Hyderabad",ANIMAL HUSBANDRY AND FISHERIES,Hyderabad,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-023,tg2026q3_02,Telangana,.Animal Husbandry & Veterinary Department(DVAHO).Mulugu,ANIMAL HUSBANDRY AND VETERINARY,Mulugu,.Mulugu,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-024,tg2026q3_02,Telangana,"Animal Husbandry & Veterinary Department(RAHTC, Karimnagar",ANIMAL HUSBANDRY AND VETERINARY,Karimnagar,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-025,tg2026q3_02,Telangana,"Animal Husbandry&Veterinary Department,Uddemarry",ANIMAL HUSBANDRY AND VETERINARY,Uddemarry,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-026,tg2026q3_02,Telangana,"BC Welfare Department,Malkajgiri",BC WELFARE,Malkajgiri,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-027,tg2026q3_02,Telangana,"BC Welfare,Dist. BC Development Office, Adilabad",BC WELFARE,Adilabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-028,tg2026q3_02,Telangana,"BC Welfare,Govt. BC Boys Hostel,Utnoor",BC WELFARE,Utnoor,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-029,tg2026q3_02,Telangana,"Consumer Affairs, Food and Civil Supplies (Commission-II)Nampally",CONSUMER AFFAIRS,Food and Civil Supplies (Commission-II)Nampally,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-030,tg2026q3_02,Telangana,"Consumer Affairs,Food&CS Department(Legal Metrology),Peddapalli",CONSUMER AFFAIRS,Peddapalli,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-031,tg2026q3_02,Telangana,"Consumer Affairs,Food&Civil Supplies Department,Gadwal",CONSUMER AFFAIRS,Gadwal,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-032,tg2026q3_02,Telangana,"Consumer Affairs& Civil Supplies Department,Medak",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Medak,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-033,tg2026q3_02,Telangana,"Consumer Affairs&Civil Supplies , Nizamabad",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Nizamabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-034,tg2026q3_02,Telangana,"Consumer Affairs&Civil Supplies Department,Kamareddy",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Kamareddy,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-035,tg2026q3_02,Telangana,"Consumer Affairs&CS Department, Hyd.",CONSUMER AFFAIRS AND CS,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-036,tg2026q3_02,Telangana,"Consumer Affairs&CS Department,Mahabubnagar",CONSUMER AFFAIRS AND CS,Mahabubnagar,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-037,tg2026q3_02,Telangana,"Consumer Affairs&CS Department,Wanaparthy",CONSUMER AFFAIRS AND CS,Wanaparthy,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-038,tg2026q3_02,Telangana,Consumer Affairs Food & Civil Supplies Department Sangareddy,CONSUMER AFFAIRS FOOD AND CIVIL SUPPLIES DEPARTMENT SANGAREDDY,Sangareddy,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-039,tg2026q3_02,Telangana,"Cooperation Department, Nagarkunool",COOPERATION,Nagarkunool,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-040,tg2026q3_02,Telangana,"Cooperation Department,Medak",COOPERATION,Medak,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-041,tg2026q3_02,Telangana,"Cooperation Department,Narayanpet",COOPERATION,Narayanpet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-042,tg2026q3_02,Telangana,"Cooperative Department,Jagtial",COOPERATIVE,Jagtial,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-043,tg2026q3_02,Telangana,"District Cooperative Office,Peddapalli",DISTRICT COOPERATIVE OFFICE,,,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-044,tg2026q3_02,Telangana,"Drugs Control Administration, Bhadradri Kothagudem",DRUGS CONTROL ADMINISTRATION,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-045,tg2026q3_02,Telangana,"Drugs Control Administration, Jangoan",DRUGS CONTROL ADMINISTRATION,Jangoan,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-046,tg2026q3_02,Telangana,"Drugs Control Administration, Nirmal",DRUGS CONTROL ADMINISTRATION,Nirmal,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-047,tg2026q3_02,Telangana,"Education(Higher Education)Department(GOVERNMENT POLYTECHNIC), PARKAL",EDUCATION,PARKAL,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-048,tg2026q3_02,Telangana,"Education(Higher Education)Department(Government Polytechnic), Madhira",EDUCATION,Madhira,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-049,tg2026q3_02,Telangana,"Education(Higher Education)Department(Govt.Polytechnic for Women,)Secu",EDUCATION,)Secu,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-050,tg2026q3_02,Telangana,"Education(Higher education)Department(Govt. Polytechnic), Kataram",EDUCATION,Kataram,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-051,tg2026q3_02,Telangana,"EFST(Telangana State Forest Development Cooperation Ltd)Department,Hyd",EFST,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-052,tg2026q3_02,Telangana,"EFST(Telangana State Forest Development Cooperation Ltd)Dept,Mulugu",EFST,Mulugu,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-053,tg2026q3_02,Telangana,"EFST(Telangana State Forest Development Corp Ltd)Dept,Kaghaznaga",EFST,Kaghaznaga,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-054,tg2026q3_02,Telangana,"Energy Department (TGTRANSCO) , Adilabad",ENERGY,Adilabad,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-055,tg2026q3_02,Telangana,"Energy Department (TGTRANSCO) Mint Compound, Hyderabad",ENERGY,Hyderabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-056,tg2026q3_02,Telangana,Energy Department(TGSPDCL) Gadwal,ENERGY,Gadwal,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-057,tg2026q3_02,Telangana,"Environment,Forest ,Sciences&Tech Department,Khammam",ENVIRONMENT,Khammam,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-058,tg2026q3_02,Telangana,"Environment,Forests,Science&Tech Department, Chennur",ENVIRONMENT,Chennur,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-059,tg2026q3_02,Telangana,"Environment,Forests,Science&Tech Department,Devapur",ENVIRONMENT,Devapur,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-060,tg2026q3_02,Telangana,Finance Department(Pay&Accounts ) Mahabubabad,FINANCE,Mahabubabad,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-061,tg2026q3_02,Telangana,"Finance Department(Sub Treasury), Kodakandla",FINANCE,Kodakandla,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-062,tg2026q3_02,Telangana,"Finance(State Audit) Department,Hyd",FINANCE,Hyd,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-063,tg2026q3_02,Telangana,"Finance(Treasuries and Accounts) Department,Adilabad",FINANCE,Adilabad,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-064,tg2026q3_02,Telangana,"Fire Station, Huzurabad",FIRE STATION,Huzurabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-065,tg2026q3_02,Telangana,"Fire Station, Kashmirgadda",FIRE STATION,Kashmirgadda,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-066,tg2026q3_02,Telangana,"Fire Station, Manakondur",FIRE STATION,Manakondur,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-067,tg2026q3_02,Telangana,"Ground Water Department, Mahabubabad District",GROUND WATER,Mahabubabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-068,tg2026q3_02,Telangana,"Ground Water Department, Medchal-Malkajgiri District",GROUND WATER,Medchal,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-069,tg2026q3_02,Telangana,"Ground Water Department, Peddapalli District",GROUND WATER,Peddapalli,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-070,tg2026q3_02,Telangana,"Health, Medical and Family Welfare",HEALTH,Medical and Family Welfare,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-071,tg2026q3_02,Telangana,"Health,Medical &Family Welfare, Khaleelwadi, Nizamabad",HEALTH,Nizamabad,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-072,tg2026q3_02,Telangana,"Health,medical &family welfare Department(RAJIV AROGYA SRI HEALTH CARE",HEALTH,medical &family welfare Department(RAJIV AROGYA SRI HEALTH CARE,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-073,tg2026q3_02,Telangana,"Health,medical&Family Welfare, Mahabuababd",HEALTH,Mahabuababd,NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-074,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,GADWAL (JOGULAMBA)",HEALTH MEDICAL AND FAMILY WELFARE,GADWAL (JOGULAMBA),NA,RTI_telangana,plain,RA4,v3,en,portal,,,,,,,,,,,,,
TG-075,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,HYDERABAD",HEALTH MEDICAL AND FAMILY WELFARE,Hyderabad,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-076,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,MULUGU",HEALTH MEDICAL AND FAMILY WELFARE,Mulugu,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,,,,
TG-077,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,SURYAPET",HEALTH MEDICAL AND FAMILY WELFARE,Suryapet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-078,tg2026q3_02,Telangana,"Higher Education(Intermediate Education)Department,Mulugu",HIGHER EDUCATION,Mulugu,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-079,tg2026q3_02,Telangana,"Higher Education(TS Council of Higher Education)Department,Hyd",HIGHER EDUCATION,Hyd,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-080,tg2026q3_02,Telangana,Higher Education(Technical Education )Kosgi,HIGHER EDUCATION,Kosgi,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-081,tg2026q3_02,Telangana,"Home Department(15th Battalion),Khammam",HOME,Khammam,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
TG-082,tg2026q3_02,Telangana,"Home Department(ADGP, Women Safety Wing),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-083,tg2026q3_02,Telangana,"Home Department(Cyber Security Bureau),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-084,tg2026q3_02,Telangana,"Home Department(DIG of Police,IT&C),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-085,tg2026q3_02,Telangana,"Home Department(Police), Jangaon",HOME,Jangaon,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-086,tg2026q3_02,Telangana,"Home Department,Adilabad",HOME,Adilabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-087,tg2026q3_02,Telangana,"Home Department,Khammam",HOME,Khammam,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-088,tg2026q3_02,Telangana,"Industries & Commerce Department,Nizamabad",INDUSTRIES AND COMMERCE,Nizamabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,,,,
TG-089,tg2026q3_02,Telangana,"Industries and Commerce Department ,Hyderabad",INDUSTRIES AND COMMERCE,Hyderabad,NA,RTI_telangana,legal_salience,RA4,v3,en,portal,,,,,,,,,,,,,
TG-090,tg2026q3_02,Telangana,"Industries&Commerce Department,Medak",INDUSTRIES AND COMMERCE,Medak,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-091,tg2026q3_02,Telangana,"Industries&CommerceDepartment, Jangaon",INDUSTRIES AND COMMERCEDEPARTMENT,Jangaon,NA,RTI_telangana,legal_salience,RA2,v3,en,portal,,,,,,,,,,,,,
TG-092,tg2026q3_02,Telangana,"Irriation & CAD (IW&PW)Department,Bhoothpur",IRRIATION AND CAD,Bhoothpur,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-093,tg2026q3_02,Telangana,"Irriation & CAD (IW&PW)Department,Mahabubnagar",IRRIATION AND CAD,Mahabubnagar,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-094,tg2026q3_02,Telangana,"Irriation & CAD(IW&PW) Department,Mahabubnagar",IRRIATION AND CAD,Mahabubnagar,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-095,tg2026q3_02,Telangana,"Irrigation & CAD (IW&PW)Department,EE Division 1 Kothagudem",IRRIGATION AND CAD,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA2,v3,en,portal,,,,,,,,,,,,,
