application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,screen_recording_url,payment_reference,pio_name,filed_by,due_date,notes
TG-011,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) MARAMUNAGALA,ANIMAL HUSBADRY AND VETERINARY,MARAMUNAGALA,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-023,tg2026q3_02,Telangana,.Animal Husbandry & Veterinary Department(DVAHO).Mulugu,ANIMAL HUSBANDRY AND VETERINARY,Mulugu,.Mulugu,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-031,tg2026q3_02,Telangana,"Consumer Affairs,Food&Civil Supplies Department,Gadwal",CONSUMER AFFAIRS,Gadwal,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-032,tg2026q3_02,Telangana,"Consumer Affairs& Civil Supplies Department,Medak",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Medak,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-038,tg2026q3_02,Telangana,Consumer Affairs Food & Civil Supplies Department Sangareddy,CONSUMER AFFAIRS FOOD AND CIVIL SUPPLIES DEPARTMENT SANGAREDDY,Sangareddy,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-041,tg2026q3_02,Telangana,"Cooperation Department,Narayanpet",COOPERATION,Narayanpet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-042,tg2026q3_02,Telangana,"Cooperative Department,Jagtial",COOPERATIVE,Jagtial,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-048,tg2026q3_02,Telangana,"Education(Higher Education)Department(Government Polytechnic), Madhira",EDUCATION,Madhira,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-050,tg2026q3_02,Telangana,"Education(Higher education)Department(Govt. Polytechnic), Kataram",EDUCATION,Kataram,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-053,tg2026q3_02,Telangana,"EFST(Telangana State Forest Development Corp Ltd)Dept,Kaghaznaga",EFST,Kaghaznaga,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-059,tg2026q3_02,Telangana,"Environment,Forests,Science&Tech Department,Devapur",ENVIRONMENT,Devapur,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-068,tg2026q3_02,Telangana,"Ground Water Department, Medchal-Malkajgiri District",GROUND WATER,Medchal,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-077,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,SURYAPET",HEALTH MEDICAL AND FAMILY WELFARE,Suryapet,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-083,tg2026q3_02,Telangana,"Home Department(Cyber Security Bureau),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-084,tg2026q3_02,Telangana,"Home Department(DIG of Police,IT&C),Hyderabad",HOME,Hyderabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-086,tg2026q3_02,Telangana,"Home Department,Adilabad",HOME,Adilabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-087,tg2026q3_02,Telangana,"Home Department,Khammam",HOME,Khammam,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-092,tg2026q3_02,Telangana,"Irriation & CAD (IW&PW)Department,Bhoothpur",IRRIATION AND CAD,Bhoothpur,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-093,tg2026q3_02,Telangana,"Irriation & CAD (IW&PW)Department,Mahabubnagar",IRRIATION AND CAD,Mahabubnagar,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-094,tg2026q3_02,Telangana,"Irriation & CAD(IW&PW) Department,Mahabubnagar",IRRIATION AND CAD,Mahabubnagar,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-099,tg2026q3_02,Telangana,"Irrigation & CAD(IW&PW) Department,Hyderabad",IRRIGATION AND CAD,Hyderabad,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-100,tg2026q3_02,Telangana,"Irrigation &CAD Department,Bhupalpally",IRRIGATION AND CAD,Jayashankar Bhupalapally,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-103,tg2026q3_02,Telangana,"Labour,Employement Training&Factories(Corporation) Department,Mulugu",LABOUR,Mulugu,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-104,tg2026q3_02,Telangana,"Labour,Employment,Training Factories Department, Jangaon",LABOUR,Jangaon,NA,RTI_telangana,plain,RA1,v3,en,portal,,,,,,,,,,,,,
TG-115,tg2026q3_02,Telangana,"Mines & Geology Department, Jayashankar Bhupalapally",MINES AND GEOLOGY,Jayashankar Bhupalapally,Jayashankar Bhupalapally,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
TG-117,tg2026q3_02,Telangana,"Mines&Geology Department,,Rajanna Sircilla",MINES AND GEOLOGY,Rajanna Sircilla,NA,RTI_telangana,legal_salience,RA1,v3,en,portal,,,,,,,,,,,,,
