application_id,batch_id,state,office_name,dept_group,district,block,portal,treatment,assigned_ra,template_version,language,channel,filing_outcome,not_filed_reason,filing_date,registration_number,fee_paid_inr,payment_mode,evidence_url,payment_reference,due_date,notes
TG-004,tg2026q3_02,Telangana,"Agriculture&Cooperation Department,Nagarkurnool",AGRICULTURE AND COOPERATION,Nagarkurnool,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-010,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Kowdipally,ANIMAL HUSBADRY AND VETERINARY,Kowdipally,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-015,tg2026q3_02,Telangana,Animal Husbadry & Veterinary Department(PVC) Tekmal,ANIMAL HUSBADRY AND VETERINARY,Tekmal,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-018,tg2026q3_02,Telangana,"Animal Husbadry & Veterinary Department(PVC),Thimmapur",ANIMAL HUSBADRY AND VETERINARY,Thimmapur,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-020,tg2026q3_02,Telangana,Animal Husbandry and Fisheries,ANIMAL HUSBANDRY AND FISHERIES,,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-024,tg2026q3_02,Telangana,"Animal Husbandry & Veterinary Department(RAHTC, Karimnagar",ANIMAL HUSBANDRY AND VETERINARY,Karimnagar,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-025,tg2026q3_02,Telangana,"Animal Husbandry&Veterinary Department,Uddemarry",ANIMAL HUSBANDRY AND VETERINARY,Uddemarry,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-026,tg2026q3_02,Telangana,"BC Welfare Department,Malkajgiri",BC WELFARE,Malkajgiri,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-029,tg2026q3_02,Telangana,"Consumer Affairs, Food and Civil Supplies (Commission-II)Nampally",CONSUMER AFFAIRS,Food and Civil Supplies (Commission-II)Nampally,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-030,tg2026q3_02,Telangana,"Consumer Affairs,Food&CS Department(Legal Metrology),Peddapalli",CONSUMER AFFAIRS,Peddapalli,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-033,tg2026q3_02,Telangana,"Consumer Affairs&Civil Supplies , Nizamabad",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Nizamabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-034,tg2026q3_02,Telangana,"Consumer Affairs&Civil Supplies Department,Kamareddy",CONSUMER AFFAIRS AND CIVIL SUPPLIES,Kamareddy,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-037,tg2026q3_02,Telangana,"Consumer Affairs&CS Department,Wanaparthy",CONSUMER AFFAIRS AND CS,Wanaparthy,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-043,tg2026q3_02,Telangana,"District Cooperative Office,Peddapalli",DISTRICT COOPERATIVE OFFICE,,,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-049,tg2026q3_02,Telangana,"Education(Higher Education)Department(Govt.Polytechnic for Women,)Secu",EDUCATION,)Secu,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-052,tg2026q3_02,Telangana,"EFST(Telangana State Forest Development Cooperation Ltd)Dept,Mulugu",EFST,Mulugu,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-063,tg2026q3_02,Telangana,"Finance(Treasuries and Accounts) Department,Adilabad",FINANCE,Adilabad,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-065,tg2026q3_02,Telangana,"Fire Station, Kashmirgadda",FIRE STATION,Kashmirgadda,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-069,tg2026q3_02,Telangana,"Ground Water Department, Peddapalli District",GROUND WATER,Peddapalli,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-070,tg2026q3_02,Telangana,"Health, Medical and Family Welfare",HEALTH,Medical and Family Welfare,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-072,tg2026q3_02,Telangana,"Health,medical &family welfare Department(RAJIV AROGYA SRI HEALTH CARE",HEALTH,medical &family welfare Department(RAJIV AROGYA SRI HEALTH CARE,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-076,tg2026q3_02,Telangana,"Health Medical & Family Welfare Department,MULUGU",HEALTH MEDICAL AND FAMILY WELFARE,Mulugu,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-080,tg2026q3_02,Telangana,Higher Education(Technical Education )Kosgi,HIGHER EDUCATION,Kosgi,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-085,tg2026q3_02,Telangana,"Home Department(Police), Jangaon",HOME,Jangaon,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-088,tg2026q3_02,Telangana,"Industries & Commerce Department,Nizamabad",INDUSTRIES AND COMMERCE,Nizamabad,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-098,tg2026q3_02,Telangana,"Irrigation & CAD(IW&PW) Department, Medak",IRRIGATION AND CAD,Medak,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-109,tg2026q3_02,Telangana,"Labour Employment Training& Factories Department, Ranga Reddy",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Ranga Reddy,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-112,tg2026q3_02,Telangana,"Labour employment Training &Factories Department, Kothagudem",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Bhadradri Kothagudem,NA,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-113,tg2026q3_02,Telangana,"Labour employment Training &Factories Department,Manuguru",LABOUR EMPLOYMENT TRAINING AND FACTORIES,Manuguru,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-116,tg2026q3_02,Telangana,Mines and Geology,MINES AND GEOLOGY,,NA,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
TG-118,tg2026q3_02,Telangana,"Municipal Administration & Urban Development Dept.,kothagudem",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Bhadradri Kothagudem,kothagudem,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-119,tg2026q3_02,Telangana,"Municipal Administration & Urban Development, Zaheerabad Sangareddy",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Sangareddy,,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-120,tg2026q3_02,Telangana,"Municipal Administration&Urban Development,Medak",MUNICIPAL ADMINISTRATION AND URBAN DEVELOPMENT,Medak,,RTI_telangana,plain,RA3,v3,en,portal,,,,,,,,,,
TG-126,tg2026q3_02,Telangana,Panchayat Raj,PANCHAYAT RAJ,,,RTI_telangana,legal_salience,RA3,v3,en,portal,,,,,,,,,,
